Designation,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Is Potentially Hazardous,Relative Velocity (km/s),Relative Velocity (km/h),Miss Distance (km),Miss Distance (miles),Orbiting Body,Cluster,Object Type,pca_1,pca_2,pca_3
1036,9.26,37.3727431914,83.5679942816,0,16.3343731636,58803.7433889877,55964126.61049577,34774495.76096693,0,2,Asteroid,7.5049026087743265,-3.2862927521027947,2.911020920092136
1036,9.26,37.3727431914,83.5679942816,0,18.6810528638,67251.79030955,69740659.1000354,43334836.10171071,0,2,Asteroid,7.4480728845325315,-2.9713831569717235,3.4266258942060825
1036,9.26,37.3727431914,83.5679942816,0,6.6728717597,24022.3383347675,292856375.61943173,181972513.6323333,1,2,Asteroid,10.459190741354982,4.0347835347653005,4.529026565343275
1036,9.26,37.3727431914,83.5679942816,0,14.9802975601,53929.071216288,14310368.255014906,8892050.503805462,2,2,Asteroid,7.225422122617061,-4.457237296849627,2.184091286254478
1036,9.26,37.3727431914,83.5679942816,0,6.2203932992,22393.4158769656,293177487.1332312,182172043.07470515,1,2,Asteroid,10.49773459579448,4.061452964107218,4.467544118386899
1036,9.26,37.3727431914,83.5679942816,0,14.471634734,52097.8850425638,56300844.63784704,34983722.64118366,0,2,Asteroid,7.654449786680812,-3.2054179108840724,2.6453610770451723
1036,9.26,37.3727431914,83.5679942816,0,15.0172032293,54061.9316255394,53729166.14744421,33385755.7259578,0,2,Asteroid,7.587736710449323,-3.3016899895368614,2.6916605495849537
1036,9.26,37.3727431914,83.5679942816,0,16.9054594842,60859.6541432042,61723834.23575578,38353412.12274662,0,2,Asteroid,7.513374013950832,-3.1390086122467125,3.0671656823082474
1036,9.26,37.3727431914,83.5679942816,0,15.7498558756,56699.4811523335,4291012.839106991,2666311.739702836,2,2,Asteroid,7.072098666295242,-4.780637609314391,2.1679633813540096
1221,17.37,0.8923905787,1.9954459964,0,13.2693801372,47769.7684937699,42642713.35721079,26496953.400115225,0,0,Other,-0.7018298156177251,0.5251708539256928,-1.1473545974467019
1221,17.37,0.8923905787,1.9954459964,0,10.770146893,38772.5288148976,27512683.816593137,17095588.990635835,0,0,Other,-0.6455482212518083,0.17634977360014775,-1.7023122017471721
1221,17.37,0.8923905787,1.9954459964,0,9.5575171387,34407.0616994431,20259954.36803261,12588951.886839643,0,0,Other,-0.6174215866201699,0.00969527256836594,-1.9704521153805312
1221,17.37,0.8923905787,1.9954459964,0,8.8556266599,31880.2559756877,17386853.493013125,10803689.786806123,0,0,Other,-0.5888661939954091,-0.04788090691921889,-2.108775914151401
1221,17.37,0.8923905787,1.9954459964,0,8.3949324676,30221.7568833475,16130912.997788206,10023284.550945003,0,0,Other,-0.5642879195835274,-0.06718532394104618,-2.1915416505851235
1221,17.37,0.8923905787,1.9954459964,0,8.3684255756,30126.332072001,15749211.66883686,9786106.343234267,0,0,Other,-0.5657407147418361,-0.07737815356518508,-2.20024617553279
1221,17.37,0.8923905787,1.9954459964,0,8.5747644312,30869.1519523011,16435049.701117927,10212266.335192312,0,0,Other,-0.5756064491191261,-0.06511251374615404,-2.1616053318346404
1221,17.37,0.8923905787,1.9954459964,0,8.7184154318,31386.2955543144,17175664.11548352,10672462.792685801,0,0,Other,-0.5800368676265281,-0.04885003171451443,-2.131351386105301
1221,17.37,0.8923905787,1.9954459964,0,9.3128718991,33526.3388369248,19175568.62610184,11915145.831605818,0,0,Other,-0.6082371864046521,-0.012807945042571026,-2.019722111499719
1221,17.37,0.8923905787,1.9954459964,0,11.0809543303,39891.4355891567,29233181.812329087,18164656.871849786,0,0,Other,-0.6540399584130941,0.2150015300025939,-1.6353494366421792
1221,17.37,0.8923905787,1.9954459964,0,13.1912995864,47488.678510874,41912256.69805735,26043068.679031458,0,0,Other,-0.7024596943988605,0.5067075060998153,-1.1679765940953748
1221,17.37,0.8923905787,1.9954459964,0,15.6005965509,56162.1475834193,55053910.78710397,34208913.87469183,0,0,Other,-0.7700938385087195,0.8005967766598232,-0.6513858251944722
1221,17.37,0.8923905787,1.9954459964,0,16.5038501233,59413.8604438174,74350006.67711806,46198951.8752967,0,0,Other,-0.6623188551084529,1.332518628920513,-0.2746407653204842
1221,17.37,0.8923905787,1.9954459964,0,12.3264976013,44375.3913646109,55154956.81799335,34271700.96681033,0,0,Other,-0.5117849230248112,0.9283438720205379,-1.1245840071993038
1221,17.37,0.8923905787,1.9954459964,0,9.078481039,32682.5317402475,38397313.9408921,23858984.527056847,0,0,Other,-0.41172229115103876,0.5602892187868528,-1.8087928527805446
1221,17.37,0.8923905787,1.9954459964,0,7.900199433,28440.7179587598,29543652.429635465,18357574.367740817,0,0,Other,-0.4011283776372427,0.34533780411800236,-2.0923519046404486
1221,17.37,0.8923905787,1.9954459964,0,7.5647837063,27233.2213426881,21022626.763932895,13062854.538494123,0,0,Other,-0.45370919514953123,0.10802633156901248,-2.249524026619781
1221,17.37,0.8923905787,1.9954459964,0,7.8502266721,28260.8160195851,17050658.489734948,10594787.898678336,0,0,Other,-0.5129478406325975,-0.019430865872474865,-2.2587627895550395
1221,17.37,0.8923905787,1.9954459964,0,7.8270908499,28177.5270597064,17255329.45423483,10721964.5387594,0,0,Other,-0.5092328840465847,-0.012541965393716418,-2.259508015362353
1221,17.37,0.8923905787,1.9954459964,0,7.974653063,28708.7510266672,16597892.278377524,10313452.020658843,0,0,Other,-0.5269237248330191,-0.0374617904134751,-2.246499330106966
1221,17.37,0.8923905787,1.9954459964,0,8.2590404314,29732.5455530886,16201301.952138264,10067022.219035508,0,0,Other,-0.5529534661521187,-0.05994031468048171,-2.210338454778488
1221,17.37,0.8923905787,1.9954459964,0,8.1154786747,29215.7232288699,16587700.325092295,10307119.034551872,0,0,Other,-0.5380882742852375,-0.04312802595435131,-2.2262205988559898
1221,17.37,0.8923905787,1.9954459964,0,8.2318375006,29634.6150020913,16333491.177845512,10149160.795073612,0,0,Other,-0.5495903436588269,-0.05502377124904424,-2.2125965538920376
1221,17.37,0.8923905787,1.9954459964,0,8.7801227103,31608.4417569673,17152212.569950625,10657890.678009598,0,0,Other,-0.5851048765978282,-0.05189010893385725,-2.1227074956512912
1221,17.37,0.8923905787,1.9954459964,0,9.3009283476,33483.3420514811,19668764.020861648,12221603.239290744,0,0,Other,-0.6027288571288469,0.0021226801435754402,-2.015169355699603
1221,17.37,0.8923905787,1.9954459964,0,10.4839876065,37742.3553834014,25401632.337144323,15783842.427802712,0,0,Other,-0.6426125269414884,0.12529577023941074,-1.7706788358723835
1221,17.37,0.8923905787,1.9954459964,0,12.9548490682,46637.4566455589,39040078.378142364,24258379.82815796,0,0,Other,-0.7104833931287238,0.431419711899235,-1.2388366315005346
1221,17.37,0.8923905787,1.9954459964,0,15.7320665777,56635.4396798381,55404097.23036964,34426509.64048737,0,0,Other,-0.777184046705308,0.8058643148353113,-0.6278714615816113
